"region","city","ts_type","post_type","steal_date","ts_brand","ts_model","reg_id","ts_year_prod","engine_id","body_id","frame_id","vin","colour","steal_place"
"Приморский край","Владивосток","Автомобиль","угнали","21.05.2004","Toyota","mark2","б/н","1999","1JZ-0976675","JZX100-6077860"," "," ","другие цвета","Киевская8, автостоянка Первомайского РУВД"
"Москва и Московская обл.","Москва","Автомобиль","угнали","17.07.2007","Toyota","Avensis","М710ТН177","2007","1ZZ U912773"," "," ","SB1BR56L50E196652","другие цвета","ул. Академика Петровского, д.1, пересечение Ленинский пр-т 15А"
"Калужская обл.","Малоярославец","Автомобиль","угнали","21.07.2007","ВАЗ","21124","м832ту 97","2005","1177787","хта21124050271997"," ","хта21124050271997","другие цвета","Площадь у центрального рынка в 12:50"
"Москва и Московская обл.","Москва","Автомобиль","угнали","19.07.2007","Suzuki","Grand Vitara","о974ос177","2006"," "," "," "," ","другие цвета","ул Волочаевская"
"Приморский край","Владивосток","Автомобиль","угнали","16.07.2007","Toyota","CAMI","А 307МУ 25","1999","НС 0777690","отс"," ","отс","другие цвета"," "
"Киевская обл.","Киев","Автомобиль","угнали","25.05.2007","Audi","A6","AA8108AC","1998"," "," "," "," ","другие цвета","г. Киев, проспект Бажана"
"Молдова","Окница","Автомобиль","угнали","30.08.2006","ВАЗ","2110"," ","0"," "," "," "," ","другие цвета","строй база Караваевец"
"Приморский край","Находка","Автомобиль","угнали","26.07.2007","Toyota","Hilux Surf","c634рс","1989","3Y","YN130"," "," ","другие цвета","Спортивная 16"
"Москва и Московская обл.","Москва","Автомобиль","угнали","26.07.2007","Mazda","6","К093РО177","2006"," "," "," "," ","другие цвета","Большая Грузинская 16"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","01.07.2007","ВАЗ","21150","Х382ТА78","2003"," "," "," ","ХТА21150043577195","другие цвета","СПб,пр.Маршала Жукова,31.Стоянка магазина О:Кей"
"Приморский край","Владивосток","Автомобиль","угнали","26.07.2007","Toyota","Ipsum","транзит","2001","2AZ 0424002","ACM26-0004325"," "," ","другие цвета","От дома по ул. Толстого 43/а примерно в 15:30"
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.07.2007","Subaru","Forester","Н046МО177","2006"," "," "," "," ","другие цвета","Кривоколенный переулок"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","18.07.2007","ГАЗ","Газель ""Фермер"" Промтоварный фургон","н170ун 98","2007","*40522Р*73065782*","33023070074787"," ","XSU28180U711121","другие цвета","Санкт-Петербург, ул.Димитрова 17"
"Приморский край","Владивосток","Автомобиль","угнали","02.08.2005","Toyota","PRADO","р 400 рт","1999","3RZ","-"," ","-","другие цвета","г. Владивосток, ул. Арсеньева, 5"
"Москва и Московская обл.","Москва","Автомобиль","угнали","25.07.2007","Toyota","LAND CRUISER 100","Р712МТ 177","2006","1HD 0303542"," "," ","JTEHC05J904038293","другие цвета","Ленинский пр-т 32А, здание Российской Академии Наук"
"Приморский край","Владивосток","Автомобиль","угнали","15.06.2007","Honda","Accord"," ","1998","F20B-2713841","CF4-1026851"," "," ","другие цвета","Тупик СтройАнонс на снеговой 18б, стоял на отправке до Новосиба"
"Приморский край","Владивосток","Автомобиль","угнали","10.06.2007","Honda","Accord"," ","1998","F20B-2718762","CF4-1036301"," "," ","другие цвета","Тупик СтройАнонс на Снеговой 18б, отправочная стоянка до Новосиба"
"Москва и Московская обл.","Егорьевск","Автомобиль","угнали","10.06.2007","Audi","100","у 631см 50","1992"," ","45"," "," ","другие цвета","на площади, рядом с магазинами Пятерочка и Галерея, г. Егорьевск"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","03.08.2007","Audi","80","м140ое98","1987"," "," "," "," ","другие цвета","ул.Партизана Германа д.47."
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.07.2007","ВАЗ","21099","М775КР","2002"," "," "," "," ","другие цвета","мкр. Кожухово, ул. Дмитриевского,д.23"
"Приморский край","Артем","Автомобиль","угнали","31.07.2007","Toyota","Camry","У131ОМ","1995","3S6816535","SV410027317"," ","Б/Н","другие цвета","ГСК ""Заря"", гараж в центре г. Артема"
"Москва и Московская обл.","Москва","Автомобиль","угнали","08.08.2007","Kia","Shuma 2","P303ОА97","2004"," "," "," "," ","другие цвета","Москва, Нижняя Первомайская, д.59"
"Луганская обл.","Лисичанск","Автомобиль","угнали","05.01.2007","ВАЗ","21093","ВВ6363АН","1993","2108*1222449*"," "," "," ","другие цвета","г. Лисичанск"
"Приморский край","Владивосток","Автомобиль","угнали","09.08.2007","Toyota","premio","транзит","2003"," "," "," "," ","другие цвета","Шилкинская 16 от подъезда примерно в 18.30"
"Воронежская обл.","Острогожск","Автомобиль","угнали","14.02.2007","ВАЗ","21102","т808ко","2003"," "," "," "," ","другие цвета","гараж"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.08.2007","Toyota","авенсис","с673нх 177","2006"," "," "," "," ","другие цвета","нахимовский проспек около стройэкспо"
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.08.2007","Chrysler","PT Cruiser","Х973МН177","2000"," "," "," "," ","другие цвета","ул. Нижегородская 86А(перед домом)"
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.08.2007","Mazda","3","а825ст177","2007"," "," "," "," ","другие цвета","ул. Барышиха, 17"
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.08.2007","Mitsubishi","GALANT","РК267С150","2007","4G69 MS1305","4MDSRDJ1A7E704225"," ","4MDSRDJ1A7E704225","другие цвета","г.Москва ул.Академика Волгина д.37"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.08.2007","ВАЗ","21123","у481ку150","2007","1805570","9000043"," ","ХТА21123079000043","другие цвета","профсоюзная ул д 101"
"Москва и Московская обл.","Москва","Автомобиль","угнали","08.08.2007","Toyota","COROLLA","Р465ТО90","2005"," ","JTDKZ28E600121125"," ","JTDKZ28E600121125","другие цвета","Московская обл.г.Раменское"
"Москва и Московская обл.","Подольск","Автомобиль","угнали","15.08.2007","Toyota","Corolla","a563ck90","2004","E268998","NMTBZ28E50R088372"," ","NMTBZ28E50R088372","другие цвета","Город Подольск ул Огородная"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.08.2007","Daewoo","NEXIA DOHC","C040КХ177","2004","A15MF431617B","XWB3D31BD4A020190"," ","XWB3D31BD4A020190","другие цвета","нет"
"Приморский край","Владивосток","Автомобиль","угнали","10.08.2007","Toyota","корона","транзиты","2002"," "," "," "," ","другие цвета","от гостинки по ул НАДИБОИДЗЕ!"
"Владимирская обл.","Владимир","Автомобиль","угнали","19.08.2007","Ford","FUSION","Т067СР 33","2006"," "," "," "," ","другие цвета","г.Владимир, ул.Добросельская, 183 м-н Магнит"
"Иркутская обл.","Шелехов","Автомобиль","угнали","12.08.2007","Toyota","CARINA"," ","2001","5A-J101957","AT212-0088632"," "," ","другие цвета","г.Иркутск ул.Байкальская 330"
"Москва и Московская обл.","Москва","Автомобиль","угнали","21.08.2007","Volkswagen","PASSAT B5+ VARIANT","E794PC177","2001"," "," "," ","WVWZZZ3BZ1E217585","другие цвета","Москва ул. Обручева дю14"
"Москва и Московская обл.","Москва","Автомобиль","угнали","07.07.2007","ВАЗ","21124","в623ок 13","2006"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","16.08.2007","Toyota","rav-4","T536AK","2006"," "," "," ","JTMBH31V905008288","другие цвета","г. Лыткарино"
"Москва и Московская обл.","Москва","Автомобиль","угнали","20.08.2007","ВАЗ","2114","У 667 ЕХ","2006"," "," "," "," ","другие цвета","г. Москва, ул. Народного ополчения, д 21"
"Санкт-Петербург и область","Волосово","Автомобиль","угнали","17.08.2007","Mitsubishi","лансер","н109ам 98","0"," "," "," "," ","другие цвета","возле дома? г Cанкт-петербург, ул Большая-Пороховская 31 -57"
"Приморский край","Владивосток","Автомобиль","угнали","11.05.2007","Toyota","HARRIER","транзит","2000"," "," "," "," ","другие цвета","овощебаза Снеговая"
"Самарская обл.","Самара","Автомобиль","угнали","10.08.2007","ВАЗ","21104","В232ХЕ163","2007"," "," "," "," ","другие цвета","м.Безымянка"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","26.08.2007","ВАЗ","21-03","С 635 ТУ78","1974"," "," "," "," ","другие цвета","Невский район."
"Чувашия","Чебоксары","Автомобиль","угнали","09.09.2005","ВАЗ","21-099","0973ММ52","2004","3845294","3708454"," ","XTA21099043708454","другие цвета","Город Новочебоксарск,в гаражном кооперативе ""Автоград"",гараж №134. Владелец гаража Громов В.А."
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.08.2007","Volkswagen","Гольф 4","в682мн177","1998","078331"," "," ","WVWZZZ1JZWB069896","другие цвета","Москва, ул. Орджоникидзе 5"
"Оренбургская обл.","Октябрьское","Автомобиль","угнали","21.08.2007","ВАЗ","2112","О749УЕ/74","2005"," "," "," "," ","другие цвета","г. Челябинск, Свободы 32,(здание Райффайзен банк)"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","17.08.2007","Volkswagen","пассат ,Б3,седан","Т803ВМ78","1990"," "," "," "," ","другие цвета","со двора"
"Москва и Московская обл.","Москва","Автомобиль","угнали","21.08.2007","Mitsubishi","лансер","о589та177","2007","mx6445","JMBSNCS9A7Y00203"," ","JMBSNCS9A7Y002031","другие цвета","бульвар адмирала ушакова дом2"
"Москва и Московская обл.","Москва","Автомобиль","угнали","29.08.2007","Volkswagen","Transporter TDI Caravella","к815ст177","2001","ACV321301","H0527767"," ","WV2ZZZ70Z2H052767","другие цвета","Дмитровское шоссе"
"Санкт-Петербург и область","Всеволожск","Автомобиль","угнали","10.08.2007","BMW","520i","С166ОМ 35","2002"," "," "," "," ","другие цвета","г. Всеволожск, ул. Плоткина"
"Москва и Московская обл.","Москва","Автомобиль","угнали","28.08.2007","Mazda","6","В461ОХ177","0"," "," "," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","28.08.2007","ГАЗ","газель","т035вк","2007"," "," "," "," ","другие цвета","ул Архитектора Власова"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.08.2007","Mercedes","ман - фура","у412то 90","2000"," "," "," "," ","другие цвета","г.москва, ул. Рябиновая 47"
"Читинская обл.","Чита","Автомобиль","угнали","23.01.2007","Toyota","Land Cruiser","в685нв 75","2006","0508473"," "," ","JTECB09J903027064","другие цвета","От гаража"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","01.05.2006","ВАЗ","21093","х440хе78","1999","2663041","2565127"," ","ХТА210930Х2565127","другие цвета","Санкт-петербург,Красносельский р-н,ул.Котина"
"Липецкая обл.","Грязи","Автомобиль","угнали","25.10.2006","Volkswagen","Passat B5","Е315АМ48","1999","ANB004575","-"," ","WvWZZZ3BZXP407340","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.09.2007","ВАЗ","21124","в 561 су","2007"," "," "," "," ","другие цвета","м.улица Подбельского"
"Москва и Московская обл.","Сергиев Посад","Автомобиль","угнали","20.08.2007","ВАЗ","21140","х085кк177","2006"," "," "," "," ","другие цвета","Сергиево-Посадский р-н, пос. Торбеево"
"Москва и Московская обл.","Москва","Автомобиль","угнали","30.08.2007","Great Wall","Safe"," ","2007"," "," "," "," ","другие цвета","Москва, возле проходной ТЭЦ(ЮГ)"
"Москва и Московская обл.","Москва","Автомобиль","угнали","03.09.2007","ВАЗ","21101","С615ВЕ177","2005"," "," "," "," ","другие цвета","Ясенево"
"Москва и Московская обл.","Москва","Автомобиль","угнали","06.07.2007","ВАЗ","21099","м775кр","2002"," "," "," "," ","другие цвета","кожухово м.выхино"
"Приморский край","Владивосток","Автомобиль","угнали","07.09.2007","Honda","Fit","транзит","2001","1049734","1045510"," "," ","другие цвета"," "
"Москва и Московская обл.","Москва","Автомобиль","угнали","05.09.2007","Mazda","626 GE","Е 460ТА177","1992","201583","J12132 MZGE14F201"," ","JMZGE14F201121326","другие цвета","м.Кузьминки.Зеленодольская улица.д.65'"
"Москва и Московская обл.","Москва","Автомобиль","угнали","17.09.2007","Volkswagen","B5","В048КР150","0"," "," "," "," ","другие цвета","Москва Ярославское шоссе дом 4"
"Приморский край","Владивосток","Автомобиль","угнали","08.09.2007","Toyota","Crown Athlete"," ","2000","1JZ1046448","JZS1710028255"," "," ","другие цвета"," "
"Москва и Московская обл.","Подольск","Автомобиль","угнали","07.09.2007","ВАЗ","21150","Р700УУ90","2005","4195513","4034543"," ","xta21150054034543","другие цвета","подольский р-он"
"Москва и Московская обл.","Москва","Автомобиль","угнали","09.09.2007","Hyundai","SONATA-2","х205хт97","1995","G4CN-S632832","KMHCF21NPSU364331"," ","KMHCF21NPSU364331","другие цвета","ЛЕНИНСКИЙ ПР-Т Д.130 КОР.2"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.09.2007","Toyota","Авенсис","х781нт 97","2003","1322225","sb1bj56l90e024583"," ","SB1BJ56L90E024583","другие цвета","г, Москва ул. Айвазовского"
"Приморский край","Владивосток","Автомобиль","угнали","09.09.2007","Toyota","PREMIO","ТРАНЗИТ","2002"," "," "," "," ","другие цвета","ПЕРВОМАЙСКИЙ РАЙОН. УЛ. ЗОИ КОСМОДЕМЬЯНСКОЙ 12"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","25.07.2007","ВАЗ","21099","м031вт98","2003"," "," "," "," ","другие цвета","ул.Бестужевская, д.30"
"Москва и Московская обл.","Москва","Автомобиль","угнали","10.09.2007","Mazda","6","К849РО177","2006"," "," "," "," ","другие цвета","Москва,Куркино"
"Москва и Московская обл.","Москва","Автомобиль","угнали","12.09.2007","BMW","523","B426TB05","1997","256S324208756","WBADD31040BU370"," ","WBADD31040BU37040","другие цвета","г.Москва, ул. Высокая, д.5."
"Москва и Московская обл.","Москва","Автомобиль","угнали","24.09.2005","Lexus","LX470","М 575 КС97","2000"," "," "," "," ","другие цвета","Савеловский район.Петровско-Разумовский проезд"
"Москва и Московская обл.","Москва","Автомобиль","угнали","04.08.2007","Audi","a8"," ","1998"," "," "," "," ","другие цвета","крылатское"
"Москва и Московская обл.","Москва","Автомобиль","угнали","13.09.2007","Opel","корса В","Е 787 УМ90","2000"," "," "," "," ","другие цвета","Москва ул. Озерная 25"
"Санкт-Петербург и область","Волхов","Автомобиль","угнали","13.09.2007","Volvo","Volvo FH-12"," ","2002"," "," "," "," ","другие цвета","в районе поселка Кисельня(пригород Санкт-Петербурга)"
"Москва и Московская обл.","Москва","Автомобиль","угнали","28.12.2006","Audi","80","в345ун99","1991"," "," "," "," ","другие цвета","СВАО"
"Москва и Московская обл.","Москва","Автомобиль","угнали","02.09.2007","Toyota","Land cruser 105","o209уе177","2001"," "," "," ","jtecb01j501003755","другие цвета","Тульская обл Заокский район"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.09.2007","ВАЗ","21093","в070кс 97","1998"," "," "," ","хта21090х2429825","другие цвета","зеленоградская улица дом 31 кор.3"
"Москва и Московская обл.","Москва","Автомобиль","угнали","14.09.2007","Honda","CR-V","C817MX36","2002","4007799","JHLRD17501C2279"," ","JHLRD17501C227923","другие цвета","Москва Есенинский бульвар д13"
"Москва и Московская обл.","Москва","Автомобиль","угнали","15.09.2007","BMW","м5","т907ко.97","1999"," "," "," "," ","другие цвета","г. Дзержинский, ул. Ленина, д. 20"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.09.2007","Opel","Zafira","у201тм177","1999","02ЛЕ6281","W0L0TGF75Y2032132"," ","W0L0TGF75Y2032132","другие цвета","Угол Сущевского вала и ул. Новосущевской. От магазина ""Атозапчасти"""
"Приморский край","Владивосток","Автомобиль","угнали","26.05.2007","Toyota","Mark II"," ","2001"," "," "," "," ","другие цвета","был угнан от дома по ул.Некрасовская 53а. Вознаграждение и конфиденциальность гарантируются."
"Москва и Московская обл.","Домодедово","Автомобиль","угнали","05.09.2007","BMW","520 ia touring универсал","М746УА 90","2001"," "," "," "," ","другие цвета","Домодедовский р-н, МО, с.Ям, в/ч от дома"
"Москва и Московская обл.","Солнечногорск","Автомобиль","угнали","18.09.2007","ВАЗ","21140","с740ту90","2005"," "," "," "," ","другие цвета","центр города"
"Москва и Московская обл.","Москва","Автомобиль","угнали","11.09.2007","Audi","А-6","Е 062ЕК71","95","032857","WAUZZZ4AZSN0990"," ","WAUZZZ4AZSN099013","другие цвета","г.Химки стоянка Мега"
"Москва и Московская обл.","Москва","Автомобиль","угнали","16.08.2007","ВАЗ","21150","е484см 97","2004","3952847","3810271"," ","хта21150043810271","другие цвета","м чертановская"
"Москва и Московская обл.","Москва","Автомобиль","угнали","19.03.2007","Land Rover","Range Rover","Р321ВР177","2002","53152782"," "," ","SALLMAMA42A111289","другие цвета","м.Варшавская"
"Оренбургская обл.","Орск","Автомобиль","угнали","19.09.2007","ВАЗ","21112","Е806ХР74","2007"," "," "," "," ","другие цвета","в районе Рыббазы"
"Санкт-Петербург и область","Санкт-Петербург","Автомобиль","угнали","18.09.2007","ВАЗ","21140","Е569СМ98","2005"," "," "," "," ","другие цвета","Фрунзенский район"
"Винницкая обл.","Винница","Автомобиль","угнали","02.06.2002","Audi","a6"," ","1998","aeb115992 1.8turbo","wauzzz4bzn034621"," "," ","другие цвета","винница"
"Челябинская обл.","Челябинск","Автомобиль","угнали","22.09.2007","ВАЗ","2110","У065РХ 74","2004"," "," "," "," ","другие цвета"," "
"Ярославская обл.","Гаврилов Ям","Автомобиль","угнали","25.09.2007","ВАЗ","21140"," ","2006"," "," "," "," ","другие цвета","г Ярославль ул Гоголя"
"Москва и Московская обл.","Воскресенск","Автомобиль","угнали","17.07.2007","ВАЗ","21140","м556ра","2003","-","-"," ","-","другие цвета","гараж"
"Москва и Московская обл.","Москва","Автомобиль","угнали","27.09.2007","ВАЗ","21124","У836ТА 177","2007"," "," "," ","XTA21124070491420","другие цвета","В районе ст.м. Пролетарская"
